ORDER|2026-06-27T15:06:54.811100+05:30|asd|6666666666|B3|Cheese Burst|229.00|P2|Chicago Deep Dish|349.00|T10|Peri-Peri Drizzle|59.00|1|637.00|637.00|0.00|114.66|751.66|Card

ORDER|2026-06-27T16:20:49.994267+05:30|Test User|9876543210|B3|Cheese Burst|229.00|P1|Margherita|299.00|T2|Extra Cheese|69.00|1|597.00|597.00|0.00|107.46|704.46|Cash

ORDER|2026-06-27T16:42:59.514301+05:30|asdad|6666666666|B2|Thick Crust|179.00|P7|BBQ Chicken|379.00|T10|Peri-Peri Drizzle|59.00|1|617.00|617.00|0.00|111.06|728.06|Cash

ORDER|2026-06-27T16:57:58.496555+05:30|anshul|7777777777|B2|Thick Crust|179.00|P3|Greek Mediterranean|329.00|T10|Peri-Peri Drizzle|59.00|4|567.00|2268.00|0.00|408.24|2676.24|UPI

ORDER|2026-06-27T17:04:20.168047+05:30|anshul|7777777777|B5|Multigrain|169.00|P5|Farm House|319.00|T5|Jalapenos|39.00|5|527.00|2635.00|263.50|426.87|2798.37|UPI

ORDER|2026-06-27T17:07:26.948610+05:30|asdasdas|7777777777|B4|Whole Wheat|159.00|P4|California Veggie|339.00|T4|Green Peppers|39.00|5|537.00|2685.00|268.50|434.97|2851.47|Cash

ORDER|2026-06-27T17:11:36.259770+05:30|ansd|7777777777|B5|Multigrain|169.00|P5|Farm House|319.00|T5|Jalapenos|39.00|5|527.00|2635.00|263.50|426.87|2798.37|Cash

ORDER|2026-06-27T17:13:44.296355+05:30|anshul|7777777777|B2|Thick Crust|179.00|P5|Farm House|319.00|T10|Peri-Peri Drizzle|59.00|5|557.00|2785.00|278.50|451.17|2957.67|Cash

